Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Part Number,LCSC Part Number
BZ1,1,Buzzer,,,,Buzzer_Beeper:Buzzer_12x9.5RM7.6,~,,C64777
"C1,C2,C4,C5",4,4.7u,,,,Capacitor_SMD:C_0402_1005Metric,~,,C23733
"C3,C6,C7,C8,C9,C10,C11,C15,C16,C17,C19,C20",12,100n,,,,Capacitor_SMD:C_0402_1005Metric,~,,C1525
"C12,C13",2,15p,,,,Capacitor_SMD:C_0402_1005Metric,~,,C1548
"C14,C18,C21",3,10u,,,,Capacitor_SMD:C_0805_2012Metric,~,,C15850
"C22,C23",2,100nF,,,,Capacitor_SMD:C_0805_2012Metric,~,,C49678
Card1,1,TF-115,,,,SDCARD:TF-SMD_TF-115,,TF-115,C91145
D1,1,LTST-C150RKT,,,,LED_SMD:LED_1206_3216Metric,~,LTST-C150RKT,C125096
F1,1,Fuse,,,,Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,~,,C70091
J1,1,USB_C_Receptacle_USB2.0_16P,,,,Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,,HC-TYPE-C-16P-01A,C2927039
J2,1,Conn_01x02_Pin (Thermocouple),,,,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,~,S2B-PH-K,C157929
J4,1,Conn_01x08_Pin (TFT Connector),,,,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,~,,C50981
J5,1,Conn_01x02_Pin (Hot Plate Output),,,,"Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-GF-5.08_1x02_P5.08mm_Vertical_ThreadedFlange_MountHole",~,"MCV 1,5/2-GF-5.08",C395880
J9,1,Conn_01x02_Pin (AC Input),,,,"Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_2-GF-5.08_1x02_P5.08mm_Vertical_ThreadedFlange_MountHole",~,"MCV 1,5/2-GF-5.08",C395880
L1,1,3.3u,,,,Inductor_SMD:L_0805_2012Metric,~,,C1035
PS1,1,HLK-PM01,,,,Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx,,HLK-PM01,C209900
Q1,1,2N3904,,,,Package_TO_SOT_THT:TO-92_Inline,,2N3904,C20526
Q2,1,BTA16-600B,,,,Package_TO_SOT_THT:TO-220-3_Vertical,,BTA16-600B,C8473
"R1,R3,R12,R13,R17,R18,R19,R20,R21",9,1k,,,,Resistor_SMD:R_0402_1005Metric,~,,C11702
R2,1,33,,,,Resistor_SMD:R_0402_1005Metric,~,,C25105
"R4,R5",2,RC0402FR-075K1L (5.1k立),,,,0402:R0402,~,RC0402FR-075K1L,C25905
R6,1,RC0402FR-13220RL (220立),,,,0402:R0402,~,RC0402FR-13220RL,C25091
"R7,R8",2,27,,,,Resistor_SMD:R_0402_1005Metric,~,,C25190
"R9,R11",2,DNF,,,,Resistor_SMD:R_0402_1005Metric,~,,
R10,1,0,,,,Resistor_SMD:R_0402_1005Metric,~,,C17168
"R14,R15",2,330立,,,,0402:R0402,~,,C25104
R16,1,100立,,,,0402:R0402,~,,C25076
"SW1,SW2",2,SKRKAGE020,,,,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,~,SKRKAGE020,C221880
SW3,1,RotaryEncoder_Switch,,,,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,~,EC11E,C370986
U1,1,RP2350_80QFN,,,,Package_DFN_QFN:QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,,RP2350,C7473717
U2,1,NCP1117-3.3_SOT223,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,NCP1117-3.3,C6186
U3,1,W25Q128JVS,,,,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,W25Q128JVS,C97521
U4,1,MOC3021M,,,,Package_DIP:DIP-6_W7.62mm,,MOC3021M,C24052
U5,1,MAX31855EASA,,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,MAX31855EASA,C52036
Y1,1,ABM8-272-T3,,,,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,~,ABM8-272-T3,C255910
